equipment_id,equipment_name,category,subcategory,manufacturer,model_number,serial_number,purchase_date,warranty_expiry,acquisition_cost,current_value,depreciation_rate,location,department_id,building_id,operational_status,last_maintenance_date,next_maintenance_date,maintenance_frequency,vendor_contact,vendor_phone,calibration_required,calibration_date,usage_hours_total,usage_hours_monthly,installation_date,training_required,replacement_due_date,grant_funded,research_usage
EQP017,Sound Mixing Board,Audio,Recording,Yamaha,DM2000,YAMA2024017,2023-04-22,2026-04-22,12000,8400,0.3,Music Studio,DEPT012,BLDG010,Operational,2024-03-20,2024-06-20,Quarterly,Yamaha Corporation,555-5017,Yes,2024-03-15,730,60,2023-04-24,Yes,2028-04-22,No,No
EQP018,Electron Microscope,Laboratory,Microscopy,FEI,Talos L120C,FEI2024018,2023-07-30,2026-07-30,185000,129500,0.3,Advanced Materials Lab,DEPT006,BLDG006,Operational,2024-02-25,2024-05-25,Monthly,Thermo Fisher Scientific,555-5018,Yes,2024-02-15,2190,180,2023-08-01,Yes,2031-07-30,Yes,Yes
EQP019,Welding Station,Manufacturing,Joining,Lincoln Electric,Power MIG 350MP,LINC2024019,2023-05-05,2026-05-05,4500,3150,0.3,Fabrication Lab,DEPT006,BLDG006,Operational,2024-03-01,2024-06-01,Quarterly,Lincoln Electric,555-5019,No,,2920,240,2023-05-07,Yes,2028-05-05,No,Yes
EQP020,Fume Hood,Laboratory,Safety,Labconco,Protector XStream,LABC2024020,2023-08-18,2026-08-18,15000,10500,0.3,Chemistry Lab,DEPT007,BLDG002,Operational,2024-01-08,2024-04-08,Quarterly,Labconco Corporation,555-5020,Yes,2024-01-02,2190,180,2023-08-20,Yes,2028-08-18,No,Yes
EQP021,Hydraulic Press,Manufacturing,Forming,Dake,Model 75H,DAKE2024021,2022-09-14,2025-09-14,12000,6000,0.5,Materials Lab,DEPT006,BLDG006,Operational,2024-02-18,2024-05-18,Quarterly,Dake Corporation,555-5021,Yes,2024-02-05,1825,150,2022-09-16,Yes,2027-09-14,No,Yes
EQP022,Vacuum Oven,Laboratory,Heating,Thermo Fisher,Heratherm OMS180,THER2024022,2023-03-12,2026-03-12,6500,4550,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-03-10,2024-06-10,Quarterly,Thermo Fisher Scientific,555-5022,Yes,2024-02-28,8760,720,2023-03-14,Yes,2028-03-12,No,Yes
EQP023,Sewing Machine,Arts,Textile,Bernina,B790 PLUS,BERN2024023,2023-06-08,2026-06-08,8500,5950,0.3,Textile Lab,DEPT011,BLDG009,Operational,2024-01-28,2024-04-28,Semi-Annual,Bernina USA,555-5023,No,,1825,150,2023-06-10,Yes,2028-06-08,No,No
EQP024,Robotic Arm,Manufacturing,Automation,ABB,IRB 1600,ABB2024024,2023-09-15,2026-09-15,85000,59500,0.3,Robotics Lab,DEPT006,BLDG006,Operational,2024-02-08,2024-05-08,Monthly,ABB Robotics,555-5024,Yes,2024-01-25,5475,450,2023-09-18,Yes,2028-09-15,Yes,Yes
EQP025,Incubator,Laboratory,Cell Culture,Thermo Fisher,Heratherm IM180,THER2024025,2023-11-25,2026-11-25,4500,3150,0.3,Cell Culture Lab,DEPT002,BLDG002,Operational,2024-03-05,2024-06-05,Quarterly,Thermo Fisher Scientific,555-5025,Yes,2024-02-20,1095,90,2023-11-27,Yes,2028-11-25,No,Yes
EQP026,Lighting System,Theater,Stage,ETC,ColorSource 40,ETC2024026,2023-07-03,2026-07-03,25000,17500,0.3,Main Theater,DEPT019,BLDG013,Operational,2024-02-15,2024-05-15,Quarterly,Electronic Theatre Controls,555-5026,No,,2190,180,2023-07-05,Yes,2028-07-03,No,No
EQP027,X-Ray Diffractometer,Laboratory,Crystallography,Rigaku,MiniFlex 600,RIGA2024027,2023-04-18,2026-04-18,65000,45500,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-03-12,2024-06-12,Quarterly,Rigaku Corporation,555-5027,Yes,2024-02-28,1460,120,2023-04-20,Yes,2030-04-18,Yes,Yes
EQP028,Greenhouse Climate Control,Agricultural,Environmental,Priva,Connext,PRIV2024028,2022-10-22,2025-10-22,35000,17500,0.5,Greenhouse,DEPT020,BLDG002,Operational,2024-01-20,2024-04-20,Monthly,Priva North America,555-5028,Yes,2024-01-10,2920,240,2022-10-25,Yes,2027-10-22,Yes,Yes
EQP029,Rheometer,Laboratory,Materials Testing,Anton Paar,MCR 302,ANTO2024029,2023-08-28,2026-08-28,55000,38500,0.3,Materials Lab,DEPT006,BLDG006,Operational,2024-02-22,2024-05-22,Quarterly,Anton Paar USA,555-5029,Yes,2024-02-10,1825,150,2023-08-30,Yes,2030-08-28,Yes,Yes
EQP030,Mass Spectrometer,Laboratory,Analytical,Agilent,6545 Q-TOF,AGIL2024030,2023-01-20,2026-01-20,285000,199500,0.3,Analytical Lab,DEPT007,BLDG002,Operational,2024-03-18,2024-06-18,Monthly,Agilent Technologies,555-5030,Yes,2024-03-01,8760,720,2023-01-22,Yes,2031-01-20,Yes,Yes
